Date,Max2024,Avg2024,Min2024,Max1990,Avg1990,Min1990
2024-01-01,63.0,55.0,47.0,67.3,55.6,43.9
2024-01-01,63.0,55.0,47.0,68.0,55.0,42.0
2024-01-01,66.1,56.0,45.8,67.3,55.6,43.9
2024-01-01,66.1,56.0,45.8,68.0,55.0,42.0
2024-01-02,66.0,55.5,45.0,66.0,54.5,43.0
2024-01-03,64.0,54.5,45.0,55.0,48.5,42.0
2024-01-04,60.0,52.5,45.0,59.0,47.5,36.0
2024-01-05,58.0,50.0,42.0,61.0,48.5,36.0
2024-01-06,62.0,51.0,40.0,65.0,52.5,40.0
2024-01-07,54.0,48.5,43.0,62.0,50.5,39.0
2024-01-08,54.0,45.5,37.0,68.0,54.0,40.0
2024-01-09,56.0,45.5,35.0,73.0,58.5,44.0
2024-01-10,60.0,48.5,37.0,84.0,66.0,48.0
2024-01-11,58.0,48.5,39.0,82.0,68.0,54.0
2024-01-12,58.0,47.0,36.0,78.0,65.0,52.0
2024-01-13,62.0,49.5,37.0,75.0,66.0,57.0
2024-01-14,67.0,54.0,41.0,71.0,60.0,49.0
2024-01-15,68.0,55.0,42.0,66.0,58.5,51.0
2024-01-16,70.0,57.0,44.0,63.0,54.5,46.0
2024-01-17,68.0,56.5,45.0,57.0,50.0,43.0
2024-01-18,76.0,60.5,45.0,52.0,47.0,42.0
2024-01-19,77.0,63.5,50.0,55.0,46.0,37.0
2024-01-20,68.0,60.0,52.0,59.0,48.0,37.0
2024-01-21,63.0,58.0,53.0,69.0,54.0,39.0
2024-01-22,64.0,57.0,50.0,67.0,59.0,51.0
2024-01-23,61.0,57.5,54.0,73.0,60.0,47.0
2024-01-24,63.0,58.0,53.0,72.0,59.0,46.0
2024-01-25,66.0,58.5,51.0,70.0,55.5,41.0
2024-01-26,69.0,58.0,47.0,70.0,56.5,43.0
2024-01-27,74.0,60.5,47.0,68.0,54.0,40.0
2024-01-28,78.0,65.5,53.0,66.0,52.0,38.0
2024-01-29,81.0,67.5,54.0,70.0,55.0,40.0
2024-01-30,81.0,67.5,54.0,71.0,57.5,44.0
2024-01-31,81.0,68.5,56.0,70.0,61.5,53.0
2024-02-01,81.0,68.0,55.0,68.1,56.6,45.1
2024-02-01,81.0,68.0,55.0,57.0,50.5,44.0
2024-02-01,72.1,61.4,50.7,68.1,56.6,45.1
2024-02-01,72.1,61.4,50.7,57.0,50.5,44.0
2024-02-02,63.0,57.5,52.0,59.0,51.0,43.0
2024-02-03,64.0,55.0,46.0,62.0,50.5,39.0
2024-02-04,70.0,59.5,49.0,69.0,55.5,42.0
2024-02-05,75.0,64.0,53.0,61.0,52.5,44.0
2024-02-06,66.0,58.0,50.0,69.0,55.5,42.0
2024-02-07,62.0,55.5,49.0,70.0,57.5,45.0
2024-02-08,58.0,50.5,43.0,58.0,55.0,52.0
2024-02-09,60.0,50.0,40.0,64.0,55.0,46.0
2024-02-10,59.0,52.0,45.0,68.0,55.0,42.0
2024-02-11,62.0,51.0,40.0,77.0,61.0,45.0
2024-02-12,67.0,54.5,42.0,69.0,60.5,52.0
2024-02-13,71.0,58.0,45.0,71.0,60.5,50.0
2024-02-14,71.0,58.5,46.0,61.0,50.0,39.0
2024-02-15,74.0,61.0,48.0,50.0,41.0,32.0
2024-02-16,72.0,60.0,48.0,57.0,44.5,32.0
2024-02-17,75.0,63.0,51.0,68.0,52.5,37.0
2024-02-18,77.0,64.0,51.0,68.0,55.0,42.0
2024-02-19,80.0,67.0,54.0,56.0,48.5,41.0
2024-02-20,82.0,67.5,53.0,59.0,48.0,37.0
2024-02-21,76.0,66.0,56.0,64.0,53.5,43.0
2024-02-22,76.0,65.0,54.0,74.0,58.5,43.0
2024-02-23,81.0,67.0,53.0,79.0,63.5,48.0
2024-02-24,78.0,68.0,58.0,85.0,68.5,52.0
2024-02-25,84.0,71.5,59.0,85.0,71.0,57.0
2024-02-26,76.0,69.5,63.0,83.0,71.5,60.0
2024-02-27,76.0,66.5,57.0,82.0,70.0,58.0
2024-02-28,80.0,67.5,55.0,81.0,68.0,55.0
2024-03-01,80.0,67.5,55.0,78.0,68.5,59.0
2024-03-01,80.0,67.5,55.0,78.9,67.1,55.4
2024-03-01,76.4,65.1,53.8,78.0,68.5,59.0
2024-03-01,76.4,65.1,53.8,78.9,67.1,55.4
2024-03-02,80.0,66.5,53.0,80.0,69.5,59.0
2024-03-03,74.0,64.0,54.0,78.0,70.0,62.0
2024-03-04,75.0,64.0,53.0,82.0,68.5,55.0
2024-03-05,77.0,65.0,53.0,69.0,61.0,53.0
2024-03-06,76.0,66.5,57.0,70.0,59.0,48.0
2024-03-07,65.0,59.0,53.0,74.0,61.5,49.0
2024-03-08,71.0,62.0,53.0,80.0,65.5,51.0
2024-03-09,76.0,63.5,51.0,77.0,66.5,56.0
2024-03-10,81.0,67.0,53.0,61.0,56.5,52.0
2024-03-11,82.0,69.5,57.0,64.0,56.5,49.0
2024-03-12,78.0,66.5,55.0,64.0,55.5,47.0
2024-03-13,77.0,65.5,54.0,62.0,53.0,44.0
2024-03-14,73.0,63.5,54.0,63.0,51.5,40.0
2024-03-15,63.0,56.5,50.0,74.0,58.0,42.0
2024-03-16,69.0,57.5,46.0,75.0,62.0,49.0
2024-03-17,69.0,60.5,52.0,84.0,68.0,52.0
2024-03-18,81.0,66.0,51.0,87.0,71.0,55.0
2024-03-19,80.0,67.0,54.0,91.0,74.0,57.0
2024-03-20,80.0,67.0,54.0,91.0,78.0,65.0
2024-03-21,83.0,69.5,56.0,92.0,77.5,63.0
2024-03-22,86.0,73.0,60.0,94.0,78.0,62.0
2024-03-23,83.0,72.5,62.0,93.0,78.0,63.0
2024-03-24,67.0,60.0,53.0,94.0,79.0,64.0
2024-03-25,71.0,60.0,49.0,93.0,78.5,64.0
2024-03-26,73.0,64.0,55.0,93.0,79.5,66.0
2024-03-27,78.0,64.5,51.0,85.0,76.0,67.0
2024-03-28,82.0,68.5,55.0,78.0,69.0,60.0
2024-03-29,86.0,71.0,56.0,72.0,63.5,55.0
2024-03-30,87.0,73.0,59.0,77.0,65.5,54.0
2024-03-31,65.0,58.0,51.0,70.0,62.5,55.0
2024-04-01,64.0,56.5,49.0,88.4,76.1,63.9
2024-04-01,64.0,56.5,49.0,77.0,65.5,54.0
2024-04-01,86.8,74.0,61.3,88.4,76.1,63.9
2024-04-01,86.8,74.0,61.3,77.0,65.5,54.0
2024-04-02,76.0,63.5,51.0,82.0,69.0,56.0
2024-04-03,83.0,69.5,56.0,86.0,72.0,58.0
2024-04-04,89.0,74.0,59.0,84.0,73.5,63.0
2024-04-05,72.0,64.0,56.0,81.0,72.0,63.0
2024-04-06,68.0,58.5,49.0,86.0,74.5,63.0
2024-04-07,76.0,63.0,50.0,83.0,74.0,65.0
2024-04-08,76.0,65.5,55.0,85.0,74.0,63.0
2024-04-09,85.0,70.0,55.0,86.0,73.5,61.0
2024-04-10,87.0,72.0,57.0,93.0,78.0,63.0
2024-04-11,94.0,78.0,62.0,95.0,80.0,65.0
2024-04-12,95.0,80.0,65.0,98.0,81.0,64.0
2024-04-13,90.0,77.0,64.0,98.0,82.0,66.0
2024-04-14,84.0,72.0,60.0,98.0,83.0,68.0
2024-04-15,77.0,67.5,58.0,100.0,83.5,67.0
2024-04-16,88.0,73.5,59.0,91.0,79.5,68.0
2024-04-17,93.0,77.5,62.0,81.0,73.0,65.0
2024-04-18,94.0,80.0,66.0,82.0,71.5,61.0
2024-04-19,94.0,80.0,66.0,88.0,75.5,63.0
2024-04-20,96.0,82.0,68.0,94.0,79.0,64.0
2024-04-21,100.0,85.0,70.0,94.0,81.0,68.0
2024-04-22,102.0,86.5,71.0,89.0,78.0,67.0
2024-04-23,98.0,84.0,70.0,86.0,76.0,66.0
2024-04-24,93.0,80.5,68.0,72.0,65.0,58.0
2024-04-25,85.0,76.5,68.0,81.0,69.5,58.0
2024-04-26,83.0,74.0,65.0,92.0,77.0,62.0
2024-04-27,82.0,72.5,63.0,97.0,82.0,67.0
2024-04-28,88.0,75.0,62.0,98.0,84.0,70.0
2024-04-29,95.0,80.0,65.0,92.0,82.5,73.0
2024-04-30,96.0,82.5,69.0,83.0,75.0,67.0
2024-05-01,93.0,81.0,69.0,80.0,70.5,61.0
2024-05-01,93.0,81.0,69.0,93.7,81.1,68.5
2024-05-01,96.7,83.8,70.9,80.0,70.5,61.0
2024-05-01,96.7,83.8,70.9,93.7,81.1,68.5
2024-05-02,93.0,81.0,69.0,82.0,71.0,60.0
2024-05-03,97.0,83.5,70.0,91.0,76.5,62.0
2024-05-04,95.0,83.0,71.0,94.0,82.5,71.0
2024-05-05,85.0,77.0,69.0,96.0,85.0,74.0
2024-05-06,86.0,73.5,61.0,94.0,84.0,74.0
2024-05-07,92.0,77.5,63.0,99.0,85.0,71.0
2024-05-08,91.0,79.0,67.0,98.0,85.0,72.0
2024-05-09,89.0,77.0,65.0,98.0,83.5,69.0
2024-05-10,93.0,79.0,65.0,94.0,82.5,71.0
2024-05-11,93.0,79.0,65.0,85.0,75.0,65.0
