Date,Max Temp,Min Temp,Avg Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1990-04-01,77,54,65.5,-4.5,0,1,0.00,0.0,0
1990-04-02,82,56,69.0,-1.2,0,4,0.00,0.0,0
1990-04-03,86,58,72.0,1.6,0,7,0.00,0.0,0
1990-04-04,84,63,73.5,2.9,0,9,0.00,0.0,0
1990-04-05,81,63,72.0,1.2,0,7,0.00,0.0,0
1990-04-06,86,63,74.5,3.5,0,10,0.00,0.0,0
1990-04-07,83,65,74.0,2.8,0,9,0.00,0.0,0
1990-04-08,85,63,74.0,2.6,0,9,0.00,0.0,0
1990-04-09,86,61,73.5,1.9,0,9,0.00,0.0,0
1990-04-10,93,63,78.0,6.2,0,13,0.00,0.0,0
1990-04-11,95,65,80.0,8.0,0,15,0.00,0.0,0
1990-04-12,98,64,81.0,8.8,0,16,0.00,0.0,0
1990-04-13,98,66,82.0,9.6,0,17,0.00,0.0,0
1990-04-14,98,68,83.0,10.3,0,18,0.00,0.0,0
1990-04-15,100,67,83.5,10.6,0,19,0.00,0.0,0
1990-04-16,91,68,79.5,6.4,0,15,0.00,0.0,0
1990-04-17,81,65,73.0,-0.4,0,8,0.00,0.0,0
1990-04-18,82,61,71.5,-2.1,0,7,0.00,0.0,0
1990-04-19,88,63,75.5,1.7,0,11,0.00,0.0,0
1990-04-20,94,64,79.0,4.9,0,14,0.00,0.0,0
1990-04-21,94,68,81.0,6.7,0,16,0.00,0.0,0
1990-04-22,89,67,78.0,3.4,0,13,0.00,0.0,0
1990-04-23,86,66,76.0,1.1,0,11,0.00,0.0,0
1990-04-24,72,58,65.0,-10.1,0,0,0.17,0.0,0
1990-04-25,81,58,69.5,-5.9,0,5,0.00,0.0,0
1990-04-26,92,62,77.0,1.3,0,12,0.00,0.0,0
1990-04-27,97,67,82.0,6.0,0,17,0.00,0.0,0
1990-04-28,98,70,84.0,7.8,0,19,0.00,0.0,0
1990-04-29,92,73,82.5,6.0,0,18,0.00,0.0,0
1990-04-30,83,67,75.0,-1.8,0,10,0.00,0.0,0
