Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-04-01,64,49,56.5,-13.5,8,0,0.40,0.0,0
2024-04-02,76,51,63.5,-6.7,1,0,0.00,0.0,0
2024-04-03,83,56,69.5,-0.9,0,5,0.00,0.0,0
2024-04-04,89,59,74.0,3.4,0,9,0.00,0.0,0
2024-04-05,72,56,64.0,-6.8,1,0,T,0.0,0
2024-04-06,68,49,58.5,-12.5,6,0,0.00,0.0,0
2024-04-07,76,50,63.0,-8.2,2,0,0.00,0.0,0
2024-04-08,76,55,65.5,-5.9,0,1,0.00,0.0,0
2024-04-09,85,55,70.0,-1.6,0,5,0.00,0.0,0
2024-04-10,87,57,72.0,0.2,0,7,0.00,0.0,0
2024-04-11,94,62,78.0,6.0,0,13,0.00,0.0,0
2024-04-12,95,65,80.0,7.8,0,15,0.00,0.0,0
2024-04-13,90,64,77.0,4.6,0,12,0.00,0.0,0
2024-04-14,84,60,72.0,-0.7,0,7,0.00,0.0,0
2024-04-15,77,58,67.5,-5.4,0,3,0.00,0.0,0
2024-04-16,88,59,73.5,0.4,0,9,0.00,0.0,0
2024-04-17,93,62,77.5,4.1,0,13,0.00,0.0,0
2024-04-18,94,66,80.0,6.4,0,15,0.00,0.0,0
2024-04-19,94,66,80.0,6.2,0,15,0.00,0.0,0
2024-04-20,96,68,82.0,7.9,0,17,0.00,0.0,0
2024-04-21,100,70,85.0,10.7,0,20,0.00,0.0,0
2024-04-22,102,71,86.5,11.9,0,22,0.00,0.0,0
2024-04-23,98,70,84.0,9.1,0,19,0.00,0.0,0
2024-04-24,93,68,80.5,5.4,0,16,0.00,0.0,0
2024-04-25,85,68,76.5,1.1,0,12,0.00,0.0,0
2024-04-26,83,65,74.0,-1.7,0,9,0.00,0.0,0
2024-04-27,82,63,72.5,-3.5,0,8,0.00,0.0,0
2024-04-28,88,62,75.0,-1.2,0,10,0.00,0.0,0
2024-04-29,95,65,80.0,3.5,0,15,0.00,0.0,0
2024-04-30,96,69,82.5,5.7,0,18,0.00,0.0,0
