Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-08-01,107,87,97.0,1.9,0,32,0.00,0.0,0
2024-08-02,112,93,102.5,7.4,0,38,0.00,0.0,0
2024-08-03,116,92,104.0,9.0,0,39,0.00,0.0,0
2024-08-04,116,93,104.5,9.5,0,40,0.00,0.0,M
2024-08-05,112,92,102.0,7.1,0,37,T,0.0,0
2024-08-06,111,91,101.0,6.1,0,36,T,0.0,0
2024-08-07,104,81,92.5,-2.3,0,28,0.01,0.0,0
2024-08-08,107,88,97.5,2.7,0,33,0.00,0.0,0
2024-08-09,109,87,98.0,3.3,0,33,0.00,0.0,0
2024-08-10,112,93,102.5,7.8,0,38,0.00,0.0,0
2024-08-11,105,88,96.5,1.9,0,32,0.00,0.0,0
2024-08-12,108,88,98.0,3.4,0,33,0.00,0.0,0
2024-08-13,109,89,99.0,4.4,0,34,T,0.0,0
2024-08-14,110,91,100.5,6.0,0,36,0.00,0.0,0
2024-08-15,111,90,100.5,6.0,0,36,0.00,0.0,0
2024-08-16,113,92,102.5,8.1,0,38,0.00,0.0,0
2024-08-17,113,93,103.0,8.6,0,38,0.00,0.0,0
2024-08-18,102,79,90.5,-3.8,0,26,0.10,0.0,0
2024-08-19,112,88,100.0,5.7,0,35,0.00,0.0,0
2024-08-20,112,92,102.0,7.8,0,37,0.00,0.0,0
2024-08-21,105,90,97.5,3.3,0,33,T,0.0,0
2024-08-22,110,83,96.5,2.4,0,32,0.24,0.0,0
2024-08-23,109,84,96.5,2.5,0,32,0.00,0.0,0
2024-08-24,107,83,95.0,1.0,0,30,0.00,0.0,0
2024-08-25,108,86,97.0,3.1,0,32,0.00,0.0,0
2024-08-26,110,84,97.0,3.2,0,32,0.00,0.0,0
2024-08-27,108,85,96.5,2.8,0,32,0.00,0.0,0
2024-08-28,105,89,97.0,3.4,0,32,T,0.0,0
2024-08-29,109,85,97.0,3.5,0,32,0.00,0.0,0
2024-08-30,110,87,98.5,5.1,0,34,0.00,0.0,0
2024-08-31,108,88,98.0,4.8,0,33,0.00,0.0,0
