Date,Max Temp,Min Temp,Avg Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1990-12-01,73,47,60,1.3,5,0,0,0,0
1990-12-02,71,45,58,-0.4,7,0,0,0,0
1990-12-03,71,43,57,-1.0,8,0,0,0,0
1990-12-04,73,45,59,1.3,6,0,0,0,0
1990-12-05,72,45,58.5,1.1,6,0,0,0,0
1990-12-06,73,43,58,0.9,7,0,0,0,0
1990-12-07,73,45,59,2.2,6,0,0,0,0
1990-12-08,78,47,62.5,6,2,0,0,0,0
1990-12-09,79,45,62,5.7,3,0,0,0,0
1990-12-10,77,47,62,5.9,3,0,0,0,0
1990-12-11,78,48,63,7.1,2,0,0,0,0
1990-12-12,72,58,65,9.3,0,0,0.03,0,0
1990-12-13,75,55,65,9.5,0,0,0,0,0
1990-12-14,70,53,61.5,6.2,3,0,0,0,0
1990-12-15,60,50,55,-0.2,10,0,0.16,0,0
1990-12-16,62,48,55,-0.1,10,0,0,0,0
1990-12-17,58,41,49.5,-5.5,15,0,0,0,0
1990-12-18,58,38,48,-6.9,17,0,0,0,0
1990-12-19,62,39,50.5,-4.3,14,0,0,0,0
1990-12-20,57,43,50,-4.8,15,0,0.02,0,0
1990-12-21,46,37,41.5,-13.2,23,0,0.02,0.2,0
1990-12-22,46,33,39.5,-15.2,25,0,0.02,0.2,0
1990-12-23,47,26,36.5,-18.2,28,0,0,0,0
1990-12-24,57,33,45,-9.7,20,0,0,0,0
1990-12-25,57,33,45,-9.7,20,0,0,0,0
1990-12-26,57,32,44.5,-10.3,20,0,0,0,0
1990-12-27,61,34,47.5,-7.3,17,0,0,0,0
1990-12-28,52,44,48,-6.9,17,0,0.17,0,0
1990-12-29,59,46,52.5,-2.5,12,0,0.04,0,0
1990-12-30,62,36,49,-6.0,16,0,0,0,0
1990-12-31,64,35,49.5,-5.6,15,0,0,0,0
