Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-12-01,79,51,65.0,6.3,0,0,0.0,0.0,0
2024-12-02,81,52,66.5,8.1,0,2,0.0,0.0,0
2024-12-03,83,55,69.0,11.0,0,4,0.0,0.0,0
2024-12-04,78,53,65.5,7.8,0,1,0.0,0.0,0
2024-12-05,78,52,65.0,7.6,0,0,0.0,0.0,0
2024-12-06,79,56,67.5,10.4,0,3,0.0,0.0,0
2024-12-07,78,55,66.5,9.7,0,2,0.0,0.0,0
2024-12-08,75,52,63.5,7.0,1,0,0.0,0.0,0
2024-12-09,74,50,62.0,5.7,3,0,0.0,0.0,0
2024-12-10,68,48,58.0,1.9,7,0,0.0,0.0,0
2024-12-11,71,43,57.0,1.1,8,0,0.0,0.0,0
2024-12-12,75,53,64.0,8.3,1,0,0.0,0.0,0
2024-12-13,69,48,58.5,3.0,6,0,0.0,0.0,0
2024-12-14,70,48,59.0,3.7,6,0,0.0,0.0,0
2024-12-15,73,45,59.0,3.8,6,0,0.0,0.0,0
2024-12-16,71,45,58.0,2.9,7,0,0.0,0.0,0
2024-12-17,72,45,58.5,3.5,6,0,0.0,0.0,0
2024-12-18,83,46,64.5,9.6,0,0,0.0,0.0,0
2024-12-19,83,51,67.0,12.2,0,2,0.0,0.0,0
2024-12-20,83,52,67.5,12.7,0,3,0.0,0.0,0
2024-12-21,79,50,64.5,9.8,0,0,0.0,0.0,0
2024-12-22,75,49,62.0,7.3,3,0,0.0,0.0,0
2024-12-23,78,53,65.5,10.8,0,1,0.0,0.0,0
2024-12-24,78,50,64.0,9.3,1,0,0.0,0.0,0
2024-12-25,70,51,60.5,5.8,4,0,0.0,0.0,0
2024-12-26,65,49,57.0,2.2,8,0,0.0,0.0,0
2024-12-27,69,45,57.0,2.2,8,0,0.0,0.0,0
2024-12-28,70,45,57.5,2.6,7,0,0.0,0.0,0
2024-12-29,75,46,60.5,5.5,4,0,0.0,0.0,0
2024-12-30,74,46,60.0,5.0,5,0,0.0,0.0,0
2024-12-31,73,47,60.0,4.9,5,0,0.0,0.0,M
