Date,Max Temp,Min Temp,Avg Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1990-02-01,57,44,50.5,-7.7,14,0,0.31,0.0,0
1990-02-02,59,43,51.0,-7.3,14,0,0.00,0.0,0
1990-02-03,62,39,50.5,-7.9,14,0,0.00,0.0,0
1990-02-04,69,42,55.5,-3.0,9,0,0.00,0.0,0
1990-02-05,61,44,52.5,-6.1,12,0,0.00,0.0,0
1990-02-06,69,42,55.5,-3.2,9,0,0.00,0.0,0
1990-02-07,70,45,57.5,-1.3,7,0,0.00,0.0,0
1990-02-08,58,52,55.0,-3.9,10,0,0.04,0.0,0
1990-02-09,64,46,55.0,-4.0,10,0,0.00,0.0,0
1990-02-10,68,42,55.0,-4.1,10,0,0.00,0.0,0
1990-02-11,77,45,61.0,1.8,4,0,0.00,0.0,0
1990-02-12,69,52,60.5,1.2,4,0,0.00,0.0,0
1990-02-13,71,50,60.5,1.0,4,0,0.00,0.0,0
1990-02-14,61,39,50.0,-9.6,15,0,0.00,0.0,0
1990-02-15,50,32,41.0,-18.7,24,0,0.00,0.0,0
1990-02-16,57,32,44.5,-15.4,20,0,0.00,0.0,0
1990-02-17,68,37,52.5,-7.6,12,0,0.00,0.0,0
1990-02-18,68,42,55.0,-5.2,10,0,0.00,0.0,0
1990-02-19,56,41,48.5,-11.9,16,0,0.35,0.0,0
1990-02-20,59,37,48.0,-12.6,17,0,0.00,0.0,0
1990-02-21,64,43,53.5,-7.3,11,0,0.00,0.0,0
1990-02-22,74,43,58.5,-2.5,6,0,0.00,0.0,0
1990-02-23,79,48,63.5,2.3,1,0,0.00,0.0,0
1990-02-24,85,52,68.5,7.1,0,4,0.00,0.0,0
1990-02-25,85,57,71.0,9.4,0,6,0.00,0.0,0
1990-02-26,83,60,71.5,9.6,0,7,0.00,0.0,0
1990-02-27,82,58,70.0,7.9,0,5,0.00,0.0,0
1990-02-28,81,55,68.0,5.7,0,3,0.00,0.0,0
