Date,Max Temp,Min Temp,Avg Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-01-01,63,47,55.0,-0.2,10,0,0.0,0.0,0
2024-01-02,66,45,55.5,0.2,9,0,0.0,0.0,0
2024-01-03,64,45,54.5,-0.9,10,0,0.01,0.0,0
2024-01-04,60,45,52.5,-3.0,12,0,0.0,0.0,0
2024-01-05,58,42,50.0,-5.6,15,0,0.0,0.0,0
2024-01-06,62,40,51.0,-4.7,14,0,0.0,0.0,0
2024-01-07,54,43,48.5,-7.4,16,0,0.01,0.0,0
2024-01-08,54,37,45.5,-10.5,19,0,0.0,0.0,0
2024-01-09,56,35,45.5,-10.6,19,0,0.0,0.0,0
2024-01-10,60,37,48.5,-7.7,16,0,0.0,0.0,0
2024-01-11,58,39,48.5,-7.8,16,0,0.01,0.0,0
2024-01-12,58,36,47.0,-9.5,18,0,0.0,0.0,0
2024-01-13,62,37,49.5,-7.1,15,0,0.0,0.0,0
2024-01-14,67,41,54.0,-2.7,11,0,0.0,0.0,0
2024-01-15,68,42,55.0,-1.8,10,0,0.0,0.0,0
2024-01-16,70,44,57.0,0.1,8,0,0.0,0.0,0
2024-01-17,68,45,56.5,-0.5,8,0,0.0,0.0,0
2024-01-18,76,45,60.5,3.4,4,0,0.0,0.0,0
2024-01-19,77,50,63.5,6.3,1,0,0.0,0.0,0
2024-01-20,68,52,60.0,2.7,5,0,0.0,0.0,0
2024-01-21,63,53,58.0,0.6,7,0,0.03,0.0,0
2024-01-22,64,50,57.0,-0.5,8,0,0.26,0.0,0
2024-01-23,61,54,57.5,0.0,7,0,0.41,0.0,0
2024-01-24,63,53,58.0,0.4,7,0,T,0.0,0
2024-01-25,66,51,58.5,0.8,6,0,0.0,0.0,0
2024-01-26,69,47,58.0,0.2,7,0,0.0,0.0,0
2024-01-27,74,47,60.5,2.6,4,0,0.0,0.0,0
2024-01-28,78,53,65.5,7.6,0,1,0.0,0.0,0
2024-01-29,81,54,67.5,9.5,0,3,0.0,0.0,0
2024-01-30,81,54,67.5,9.4,0,3,0.0,0.0,0
2024-01-31,81,56,68.5,10.3,0,4,0.0,0.0,M
