Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1990-07-01,115,90,102.5,7.7,0,38,0.00,0.0,0
1990-07-02,106,84,95.0,0.0,0,30,0.03,0.0,0
1990-07-03,105,81,93.0,-2.1,0,28,T,0.0,0
1990-07-04,107,87,97.0,1.8,0,32,0.00,0.0,0
1990-07-05,100,87,93.5,-1.8,0,29,0.00,0.0,0
1990-07-06,98,84,91.0,-4.4,0,26,0.01,0.0,0
1990-07-07,100,79,89.5,-6.0,0,25,0.03,0.0,0
1990-07-08,100,78,89.0,-6.5,0,24,T,0.0,0
1990-07-09,104,80,92.0,-3.6,0,27,0.00,0.0,0
1990-07-10,106,79,92.5,-3.2,0,28,0.27,0.0,0
1990-07-11,106,80,93.0,-2.7,0,28,T,0.0,0
1990-07-12,112,87,99.5,3.8,0,35,T,0.0,0
1990-07-13,110,86,98.0,2.2,0,33,0.00,0.0,0
1990-07-14,94,81,87.5,-8.3,0,23,T,0.0,0
1990-07-15,91,74,82.5,-13.3,0,18,0.01,0.0,0
1990-07-16,100,82,91.0,-4.8,0,26,T,0.0,0
1990-07-17,104,81,92.5,-3.3,0,28,0.00,0.0,0
1990-07-18,110,87,98.5,2.7,0,34,0.00,0.0,0
1990-07-19,112,88,100.0,4.3,0,35,0.00,0.0,0
1990-07-20,106,88,97.0,1.3,0,32,0.00,0.0,0
1990-07-21,105,80,92.5,-3.2,0,28,0.31,0.0,0
1990-07-22,107,80,93.5,-2.1,0,29,0.00,0.0,0
1990-07-23,104,82,93.0,-2.6,0,28,0.00,0.0,0
1990-07-24,97,72,84.5,-11.1,0,20,0.39,0.0,0
1990-07-25,102,83,92.5,-3.0,0,28,0.00,0.0,0
1990-07-26,104,84,94.0,-1.5,0,29,0.00,0.0,0
1990-07-27,107,84,95.5,0.1,0,31,0.00,0.0,0
1990-07-28,108,81,94.5,-0.9,0,30,0.00,0.0,0
1990-07-29,111,81,96.0,0.7,0,31,0.00,0.0,0
1990-07-30,107,87,97.0,1.8,0,32,T,0.0,0
1990-07-31,106,84,95.0,-0.2,0,30,T,0.0,0
