Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1990-06-01,92,69,80.5,-6.8,0,16,0.00,0.0,0
1990-06-02,101,70,85.5,-2.1,0,21,0.00,0.0,0
1990-06-03,110,74,92.0,4.1,0,27,0.00,0.0,0
1990-06-04,113,80,96.5,8.3,0,32,0.00,0.0,0
1990-06-05,112,81,96.5,7.9,0,32,0.00,0.0,0
1990-06-06,108,79,93.5,4.6,0,29,0.00,0.0,0
1990-06-07,106,79,92.5,3.3,0,28,0.00,0.0,0
1990-06-08,108,82,95.0,5.5,0,30,0.00,0.0,0
1990-06-09,98,76,87.0,-2.8,0,22,0.04,0.0,0
1990-06-10,101,76,88.5,-1.6,0,24,0.00,0.0,0
1990-06-11,101,76,88.5,-1.9,0,24,0.00,0.0,0
1990-06-12,104,78,91.0,0.3,0,26,0.00,0.0,0
1990-06-13,105,77,91.0,0.1,0,26,0.00,0.0,0
1990-06-14,99,74,86.5,-4.7,0,22,0.00,0.0,0
1990-06-15,96,78,87.0,-4.5,0,22,0.00,0.0,0
1990-06-16,96,69,82.5,-9.3,0,18,0.00,0.0,0
1990-06-17,106,71,88.5,-3.5,0,24,0.00,0.0,0
1990-06-18,106,77,91.5,-0.8,0,27,0.00,0.0,0
1990-06-19,109,79,94.0,1.5,0,29,0.00,0.0,0
1990-06-20,113,78,95.5,2.7,0,31,0.00,0.0,0
1990-06-21,114,80,97.0,4.0,0,32,0.00,0.0,0
1990-06-22,113,81,97.0,3.8,0,32,0.00,0.0,0
1990-06-23,113,84,98.5,5.1,0,34,0.00,0.0,0
1990-06-24,113,87,100.0,6.4,0,35,0.00,0.0,0
1990-06-25,120,88,104.0,10.2,0,39,0.00,0.0,0
1990-06-26,122,91,106.5,12.5,0,42,0.00,0.0,0
1990-06-27,118,93,105.5,11.3,0,41,0.00,0.0,0
1990-06-28,118,87,102.5,8.1,0,38,0.00,0.0,0
1990-06-29,108,88,98.0,3.5,0,33,0.00,0.0,0
1990-06-30,112,91,101.5,6.8,0,37,0.00,0.0,0
