Date,Max Temp,Min Temp,Avg Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1990-03-01,78,59,68.5,5.9,0,4,0.00,0.0,0
1990-03-02,80,59,69.5,6.7,0,5,0.00,0.0,0
1990-03-03,78,62,70.0,6.9,0,5,0.00,0.0,0
1990-03-04,82,55,68.5,5.2,0,4,0.00,0.0,0
1990-03-05,69,53,61.0,-2.6,4,0,0.00,0.0,0
1990-03-06,70,48,59.0,-4.8,6,0,0.00,0.0,0
1990-03-07,74,49,61.5,-2.6,3,0,0.00,0.0,0
1990-03-08,80,51,65.5,1.2,0,1,0.00,0.0,0
1990-03-09,77,56,66.5,1.9,0,2,0.00,0.0,0
1990-03-10,61,52,56.5,-8.4,8,0,0.17,0.0,0
1990-03-11,64,49,56.5,-8.6,8,0,0.10,0.0,0
1990-03-12,64,47,55.5,-9.9,9,0,0.03,0.0,0
1990-03-13,62,44,53.0,-12.6,12,0,0.00,0.0,0
1990-03-14,63,40,51.5,-14.4,13,0,0.00,0.0,0
1990-03-15,74,42,58.0,-8.1,7,0,0.00,0.0,0
1990-03-16,75,49,62.0,-4.4,3,0,0.00,0.0,0
1990-03-17,84,52,68.0,1.4,0,3,0.00,0.0,0
1990-03-18,87,55,71.0,4.1,0,6,0.00,0.0,0
1990-03-19,91,57,74.0,6.9,0,9,0.00,0.0,0
1990-03-20,91,65,78.0,10.6,0,13,0.00,0.0,0
1990-03-21,92,63,77.5,9.9,0,13,0.00,0.0,0
1990-03-22,94,62,78.0,10.2,0,13,0.00,0.0,0
1990-03-23,93,63,78.0,10.0,0,13,0.00,0.0,0
1990-03-24,94,64,79.0,10.7,0,14,0.00,0.0,0
1990-03-25,93,64,78.5,10.0,0,14,0.00,0.0,0
1990-03-26,93,66,79.5,10.8,0,15,0.00,0.0,0
1990-03-27,85,67,76.0,7.1,0,11,0.00,0.0,0
1990-03-28,78,60,69.0,-0.1,0,4,0.00,0.0,0
1990-03-29,72,55,63.5,-5.8,1,0,0.04,0.0,0
1990-03-30,77,54,65.5,-4.1,0,1,0.01,0.0,0
1990-03-31,70,55,62.5,-7.3,2,0,0.00,0.0,0
