Date,Max Temp,Min Temp,Avg Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1990-05-01,80,61,70.5,-6.6,0,6,0.02,0.0,0
1990-05-02,82,60,71.0,-6.4,0,6,0.00,0.0,0
1990-05-03,91,62,76.5,-1.2,0,12,0.00,0.0,0
1990-05-04,94,71,82.5,4.5,0,18,0.00,0.0,0
1990-05-05,96,74,85.0,6.6,0,20,0.00,0.0,0
1990-05-06,94,74,84.0,5.3,0,19,0.00,0.0,0
1990-05-07,99,71,85.0,6.0,0,20,0.00,0.0,0
1990-05-08,98,72,85.0,5.7,0,20,0.00,0.0,0
1990-05-09,98,69,83.5,3.8,0,19,0.00,0.0,0
1990-05-10,94,71,82.5,2.5,0,18,0.00,0.0,0
1990-05-11,85,65,75.0,-5.3,0,10,0.00,0.0,0
1990-05-12,92,65,78.5,-2.1,0,14,0.00,0.0,0
1990-05-13,95,67,81.0,0.0,0,16,0.00,0.0,0
1990-05-14,96,70,83.0,1.7,0,18,0.00,0.0,0
1990-05-15,93,67,80.0,-1.6,0,15,0.00,0.0,0
1990-05-16,96,67,81.5,-0.5,0,17,0.00,0.0,0
1990-05-17,101,70,85.5,3.2,0,21,0.00,0.0,0
1990-05-18,93,73,83.0,0.4,0,18,0.00,0.0,0
1990-05-19,88,67,77.5,-5.5,0,13,0.00,0.0,0
1990-05-20,91,64,77.5,-5.8,0,13,0.00,0.0,0
1990-05-21,98,69,83.5,-0.2,0,19,0.00,0.0,0
1990-05-22,102,73,87.5,3.5,0,23,0.00,0.0,0
1990-05-23,105,77,91.0,6.7,0,26,0.00,0.0,0
1990-05-24,96,78,87.0,2.3,0,22,0.00,0.0,0
1990-05-25,97,69,83.0,-2.0,0,18,0.00,0.0,0
1990-05-26,97,70,83.5,-1.8,0,19,0.00,0.0,0
1990-05-27,98,70,84.0,-1.7,0,19,0.00,0.0,0
1990-05-28,85,61,73.0,-13.0,0,8,0.14,0.0,0
1990-05-29,84,61,72.5,-13.8,0,8,0.00,0.0,0
1990-05-30,93,65,79.0,-7.6,0,14,0.00,0.0,0
1990-05-31,94,69,81.5,-5.5,0,17,0.00,0.0,0
