Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-05-01,93,69,81.0,3.9,0,16,0.00,0.0,0
2024-05-02,93,69,81.0,3.6,0,16,0.00,0.0,0
2024-05-03,97,70,83.5,5.8,0,19,0.00,0.0,0
2024-05-04,95,71,83.0,5.0,0,18,0.00,0.0,0
2024-05-05,85,69,77.0,-1.4,0,12,0.00,0.0,0
2024-05-06,86,61,73.5,-5.2,0,9,0.00,0.0,0
2024-05-07,92,63,77.5,-1.5,0,13,0.00,0.0,0
2024-05-08,91,67,79.0,-0.3,0,14,0.00,0.0,0
2024-05-09,89,65,77.0,-2.7,0,12,0.00,0.0,0
2024-05-10,93,65,79.0,-1.0,0,14,0.00,0.0,0
2024-05-11,93,65,79.0,-1.3,0,14,0.00,0.0,0
2024-05-12,95,69,82.0,1.4,0,17,0.00,0.0,0
2024-05-13,100,71,85.5,4.5,0,21,0.00,0.0,0
2024-05-14,100,74,87.0,5.7,0,22,0.00,0.0,0
2024-05-15,98,73,85.5,3.9,0,21,0.00,0.0,0
2024-05-16,98,76,87.0,5.0,0,22,0.01,0.0,0
2024-05-17,102,75,88.5,6.2,0,24,0.00,0.0,0
2024-05-18,104,77,90.5,7.9,0,26,0.00,0.0,0
2024-05-19,99,75,87.0,4.0,0,22,0.00,0.0,0
2024-05-20,92,73,82.5,-0.8,0,18,T,0.0,0
2024-05-21,96,67,81.5,-2.2,0,17,0.00,0.0,M
2024-05-22,97,69,83.0,-1.0,0,18,0.00,0.0,M
2024-05-23,98,70,84.0,-0.3,0,19,0.00,0.0,0
2024-05-24,100,73,86.5,1.8,0,22,0.00,0.0,0
2024-05-25,92,75,83.5,-1.5,0,19,0.00,0.0,0
2024-05-26,99,70,84.5,-0.8,0,20,0.00,0.0,0
2024-05-27,102,73,87.5,1.8,0,23,0.00,0.0,0
2024-05-28,106,76,91.0,5.0,0,26,0.00,0.0,0
2024-05-29,103,76,89.5,3.2,0,25,0.00,0.0,0
2024-05-30,104,76,90.0,3.4,0,25,0.00,0.0,0
2024-05-31,107,76,91.5,4.5,0,27,0.00,0.0,0
