Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-11-01,81,56,68.5,-2.6,0,4,0.00,0.0,0
2024-11-02,79,55,67.0,-3.7,0,2,T,0.0,0
2024-11-03,73,58,65.5,-4.8,0,1,T,0.0,0
2024-11-04,73,52,62.5,-7.4,2,0,0.00,0.0,0
2024-11-05,74,51,62.5,-7.0,2,0,0.00,0.0,0
2024-11-06,71,50,60.5,-8.6,4,0,0.00,0.0,0
2024-11-07,68,48,58.0,-10.7,7,0,0.00,0.0,0
2024-11-08,71,48,59.5,-8.8,5,0,0.00,0.0,0
2024-11-09,75,48,61.5,-6.4,3,0,0.00,0.0,0
2024-11-10,85,52,68.5,1.0,0,4,0.00,0.0,0
2024-11-11,84,55,69.5,2.4,0,5,0.00,0.0,0
2024-11-12,77,52,64.5,-2.1,0,0,0.00,0.0,0
2024-11-13,78,49,63.5,-2.7,1,0,0.00,0.0,0
2024-11-14,84,53,68.5,2.7,0,4,0.00,0.0,0
2024-11-15,75,51,63.0,-2.3,2,0,0.00,0.0,0
2024-11-16,65,53,59.0,-5.9,6,0,0.00,0.0,0
2024-11-17,71,46,58.5,-6.0,6,0,0.00,0.0,0
2024-11-18,69,48,58.5,-5.5,6,0,0.00,0.0,0
2024-11-19,71,48,59.5,-4.1,5,0,0.00,0.0,0
2024-11-20,80,49,64.5,1.3,0,0,0.00,0.0,0
2024-11-21,80,49,64.5,1.8,0,0,0.00,0.0,0
2024-11-22,85,52,68.5,6.2,0,4,0.00,0.0,0
2024-11-23,80,51,65.5,3.6,0,1,0.00,0.0,0
2024-11-24,78,51,64.5,3.1,0,0,0.00,0.0,0
2024-11-25,79,56,67.5,6.5,0,3,0.00,0.0,0
2024-11-26,79,55,67.0,6.4,0,2,0.00,0.0,0
2024-11-27,77,59,68.0,7.8,0,3,0.00,0.0,0
2024-11-28,74,55,64.5,4.7,0,0,0.00,0.0,0
2024-11-29,75,52,63.5,4.1,1,0,0.00,0.0,0
2024-11-30,79,54,66.5,7.4,0,2,0.00,0.0,0
