Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1990-10-01,83,66,74.5,-9.1,0,10,0.04,0.0,0
1990-10-02,86,66,76.0,-7.1,0,11,0.00,0.0,0
1990-10-03,90,68,79.0,-3.7,0,14,0.00,0.0,0
1990-10-04,99,69,84.0,1.7,0,19,0.00,0.0,0
1990-10-05,99,75,87.0,5.1,0,22,0.00,0.0,0
1990-10-06,96,72,84.0,2.6,0,19,0.00,0.0,0
1990-10-07,95,76,85.5,4.5,0,21,0.00,0.0,0
1990-10-08,90,69,79.5,-1.1,0,15,0.00,0.0,0
1990-10-09,88,64,76.0,-4.2,0,11,0.00,0.0,0
1990-10-10,90,62,76.0,-3.7,0,11,0.00,0.0,0
1990-10-11,92,63,77.5,-1.8,0,13,0.00,0.0,0
1990-10-12,93,63,78.0,-0.9,0,13,0.00,0.0,0
1990-10-13,92,61,76.5,-2.0,0,12,0.00,0.0,0
1990-10-14,94,64,79.0,0.9,0,14,0.00,0.0,0
1990-10-15,93,64,78.5,0.8,0,14,0.00,0.0,0
1990-10-16,93,66,79.5,2.2,0,15,0.00,0.0,0
1990-10-17,93,69,81.0,4.1,0,16,0.00,0.0,0
1990-10-18,97,71,84.0,7.5,0,19,0.00,0.0,0
1990-10-19,89,71,80.0,3.9,0,15,T,0.0,0
1990-10-20,78,62,70.0,-5.7,0,5,0.00,0.0,0
1990-10-21,81,56,68.5,-6.8,0,4,0.00,0.0,0
1990-10-22,87,62,74.5,-0.5,0,10,0.00,0.0,0
1990-10-23,91,59,75.0,0.4,0,10,0.00,0.0,0
1990-10-24,96,60,78.0,3.8,0,13,0.00,0.0,0
1990-10-25,96,63,79.5,5.7,0,15,0.00,0.0,0
1990-10-26,96,65,80.5,7.1,0,16,0.00,0.0,0
1990-10-27,95,63,79.0,5.9,0,14,0.00,0.0,0
1990-10-28,95,67,81.0,8.3,0,16,0.00,0.0,0
1990-10-29,94,68,81.0,8.7,0,16,0.00,0.0,0
1990-10-30,94,64,79.0,7.1,0,14,0.00,0.0,0
1990-10-31,90,67,78.5,7.0,0,14,0.00,0.0,0
