Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-09-01,108,87,97.5,4.4,0,33,0.00,0.0,0
2024-09-02,108,85,96.5,3.6,0,32,0.00,0.0,0
2024-09-03,108,88,98.0,5.2,0,33,0.00,0.0,0
2024-09-04,111,87,99.0,6.4,0,34,0.00,0.0,0
2024-09-05,116,87,101.5,9.1,0,37,0.00,0.0,0
2024-09-06,111,93,102.0,9.8,0,37,0.00,0.0,0
2024-09-07,110,91,100.5,8.5,0,36,0.00,0.0,0
2024-09-08,110,88,99.0,7.2,0,34,0.00,0.0,0
2024-09-09,110,85,97.5,6.0,0,33,0.00,0.0,0
2024-09-10,110,83,96.5,5.2,0,32,0.00,0.0,0
2024-09-11,109,82,95.5,4.5,0,31,0.00,0.0,0
2024-09-12,109,81,95.0,4.3,0,30,0.00,0.0,0
2024-09-13,107,78,92.5,2.1,0,28,0.00,0.0,0
2024-09-14,104,86,95.0,4.9,0,30,0.00,0.0,0
2024-09-15,106,86,96.0,6.2,0,31,0.00,0.0,0
2024-09-16,102,83,92.5,3.0,0,28,T,0.0,0
2024-09-17,93,78,85.5,-3.7,0,21,0.00,0.0,0
2024-09-18,97,73,85.0,-3.8,0,20,0.00,0.0,0
2024-09-19,98,74,86.0,-2.4,0,21,0.00,0.0,0
2024-09-20,97,77,87.0,-1.1,0,22,0.00,0.0,0
2024-09-21,90,73,81.5,-6.2,0,17,0.00,0.0,0
2024-09-22,99,73,86.0,-1.3,0,21,0.00,0.0,0
2024-09-23,105,77,91.0,4.1,0,26,0.00,0.0,0
2024-09-24,108,78,93.0,6.5,0,28,0.00,0.0,0
2024-09-25,113,80,96.5,10.4,0,32,0.00,0.0,0
2024-09-26,110,82,96.0,10.3,0,31,0.00,0.0,0
2024-09-27,113,83,98.0,12.7,0,33,0.00,0.0,0
2024-09-28,117,85,101.0,16.1,0,36,0.00,0.0,0
2024-09-29,113,88,100.5,16.1,0,36,0.00,0.0,0
2024-09-30,107,83,95.0,11.0,0,30,0.00,0.0,M
